x (μm),y (μm),S2 (μM),I2 (μM),Th2 (μM)
4648.2534326450095,20.0,0.1334267851778012,0.0,0.0
4651.255112366151,20.0,0.13370134939190353,0.0,0.0
4654.256792087293,20.0,0.13397279513771895,0.0,0.0
4657.2584718084345,20.0,0.13424106847558503,0.0,0.0
4660.260151529577,20.0,0.13450611551265795,0.0,0.0
4663.261831250718,20.0,0.13476788242619323,0.0,0.0
4666.263510971861,20.0,0.1350263154872869,0.0,0.0
4669.265190693002,20.0,0.13528136108506142,0.0,0.0
4672.266870414145,20.0,0.13553296575128684,0.0,0.0
4675.268550135286,20.0,0.13578107618541968,0.0,0.0
4678.270229856429,20.0,0.13602563928004865,0.0,0.0
4681.27190957757,20.0,0.13626660214672706,0.0,0.0
4684.273589298713,20.0,0.136503912142179,0.0,0.0
4687.275269019854,20.0,0.13673751689485755,0.0,0.0
4690.276948740997,20.0,0.13696736433183984,0.0,0.0
4693.278628462138,20.0,0.13719340270603453,0.0,0.0
4696.280308183281,20.0,0.13741558062368592,0.0,0.0
4699.281987904422,20.0,0.13763384707214724,0.0,0.0
4702.283667625565,20.0,0.13784815144790535,0.0,0.0
4705.285347346706,20.0,0.13805844358482774,0.0,0.0
4708.287027067849,20.0,0.13826467378261198,0.0,0.0
4711.28870678899,20.0,0.13846679283540717,0.0,0.0
4714.2903865101325,20.0,0.13866475206058468,0.0,0.0
4717.292066231274,20.0,0.13885850332762667,0.0,0.0
4720.293745952416,20.0,0.13904799908710794,0.0,0.0
4723.2954256735575,20.0,0.13923319239973753,0.0,0.0
4726.2971053947,20.0,0.13941403696543425,0.0,0.0
4729.298785115841,20.0,0.13959048715240135,0.0,0.0
4732.300464836984,20.0,0.13976249802617235,0.0,0.0
4735.302144558125,20.0,0.1399300253785925,0.0,0.0
4738.303824279268,20.0,0.1400930257567065,0.0,0.0
4741.305504000409,20.0,0.14025145649151544,0.0,0.0
4744.307183721552,20.0,0.14040527572657285,0.0,0.0
4747.308863442693,20.0,0.14055444244638224,0.0,0.0
4750.310543163836,20.0,0.1406989165045644,0.0,0.0
